iter	Logloss
0	0.6864577955
1	0.6797715422
2	0.6739004402
3	0.6681459024
4	0.6650077101
5	0.6591924543
6	0.6532148428
7	0.6501839741
8	0.6449734029
9	0.6398205875
10	0.6348612292
11	0.6296021734
12	0.6245676723
13	0.6218738779
14	0.6168956711
15	0.6122612817
16	0.6079841195
17	0.6032695328
18	0.5991088684
19	0.5954095177
20	0.5913179984
21	0.5869671407
22	0.5831083082
23	0.5797296877
24	0.5758482008
25	0.5718154506
26	0.5684095916
27	0.5648555651
28	0.5608284363
29	0.5572290768
30	0.5538008614
31	0.5521077468
32	0.5489474978
33	0.5456123103
34	0.5419536157
35	0.539155024
36	0.5360899071
37	0.5346107051
38	0.5321502501
39	0.5298005415
40	0.5270342452
41	0.5248928775
42	0.5218663626
43	0.5196906333
44	0.5184188213
45	0.5155018309
46	0.5128719873
47	0.5100940108
48	0.5089293633
49	0.5060297682
50	0.5038668023
51	0.5014012875
52	0.499916568
53	0.4982241174
54	0.4972036403
55	0.4962028222
56	0.4952212564
57	0.4939496485
58	0.4918768774
59	0.4905662303
60	0.4890157673
61	0.4869200572
62	0.4858774279
63	0.4850316198
64	0.4833042148
65	0.4818837492
66	0.4799891733
67	0.4785081543
68	0.4771266744
69	0.4763830608
70	0.4747122797
71	0.4728990345
72	0.471192349
73	0.469739016
74	0.4680705026
75	0.4668709694
76	0.4655517067
77	0.4638055244
78	0.4625831298
79	0.4614806558
80	0.4596317031
81	0.458247847
82	0.4571534742
83	0.4557693167
84	0.4542024692
85	0.452565096
86	0.4516269415
87	0.4505262822
88	0.4489927994
89	0.4481668649
90	0.4471792858
91	0.446196478
92	0.4451920903
93	0.4442694536
94	0.4430377557
95	0.4424038327
96	0.4412726942
97	0.4400447565
98	0.439588816
99	0.4382325333
100	0.4369460537
101	0.4360509397
102	0.4353309197
103	0.4348599729
104	0.4338826365
105	0.4327561513
106	0.4316612945
107	0.430799456
108	0.4302939014
109	0.4294140202
110	0.4291075202
111	0.4288067867
112	0.4282274551
113	0.4279383711
114	0.4268206146
115	0.425792306
116	0.425173746
117	0.4242704753
118	0.4237880817
119	0.422972032
120	0.4222237412
121	0.4220397002
122	0.4216490243
123	0.4212069604
124	0.4204742848
125	0.4200432294
126	0.4193155101
127	0.4184745963
128	0.4177465041
129	0.4172869062
130	0.4167957263
131	0.4161407864
132	0.4156909108
133	0.4154969494
134	0.4146793704
135	0.4141686451
136	0.4137458328
137	0.4130477846
138	0.4126750753
139	0.4120170778
140	0.4115675678
141	0.4113062051
142	0.4107407597
143	0.4100366879
144	0.4095568344
145	0.4090558121
146	0.4084996473
147	0.408090108
148	0.4073348151
149	0.4067847442
150	0.4061726042
151	0.4056287535
152	0.4049349982
153	0.4043936592
154	0.4038627685
155	0.4033580922
156	0.4028373893
157	0.4025431931
158	0.4019853594
159	0.4014117389
